"Species","Disease","Group","AHLE","Mean","SD"
"Both","PPR","Adult","Animal health expenditure",206782782.729223,15412398.3967444
"Both","PPR","Adult","Production losses",2803269175.22051,34759487633.1086
"Both","PPR","Adult","Mortality losses",6565065016.56805,34160136717.0411
"Both","PPR","Adult","Total AHLE",9575116974.51777,33886233324.1952
"Both","PPR","Juvenile","Animal health expenditure",125691237.449551,9964267.82702508
"Both","PPR","Juvenile","Production losses",435665746.539036,19438107954.7646
"Both","PPR","Juvenile","Mortality losses",1294143872.48267,18955886876.5709
"Both","PPR","Juvenile","Total AHLE",1855500856.47126,19068560611.5656
"Both","PPR","Overall","Animal health expenditure",421974370.346524,20919056.4628352
"Both","PPR","Overall","Production losses",4417659396.75873,1669945422.75972
"Both","PPR","Overall","Mortality losses",10657452408.8758,2028832149.13363
"Both","PPR","Overall","Total AHLE",15497086175.981,2182043338.27643
"Both","PPR","Subadult","Animal health expenditure",89500350.1677497,6514324.89989046
"Both","PPR","Subadult","Production losses",1178724474.99918,29069808857.2028
"Both","PPR","Subadult","Mortality losses",2798243519.82506,28794012657.2555
"Both","PPR","Subadult","Total AHLE",4066468344.99199,28234243038.211
"Goats","PPR","Adult","Animal health expenditure",83091545.7630915,8687364.72566899
"Goats","PPR","Adult","Production losses",330291433.878543,7858408900.82046
"Goats","PPR","Adult","Mortality losses",2040034868.75289,7827120226.76345
"Goats","PPR","Adult","Total AHLE",2453417848.39453,7818049324.37376
"Goats","PPR","Juvenile","Animal health expenditure",47685891.2651465,4729755.19941683
"Goats","PPR","Juvenile","Production losses",98603453.264062,3253412375.07407
"Goats","PPR","Juvenile","Mortality losses",237508045.556509,3167817452.5146
"Goats","PPR","Juvenile","Total AHLE",383797390.085717,3191114532.01212
"Goats","PPR","Overall","Animal health expenditure",167833483.941505,10704272.5775997
"Goats","PPR","Overall","Production losses",657797668.807214,566374544.996056
"Goats","PPR","Overall","Mortality losses",2978026190.35072,1365089183.61088
"Goats","PPR","Overall","Total AHLE",3803657343.09944,1206482272.61468
"Goats","PPR","Subadult","Animal health expenditure",37056046.9132669,3528855.66278557
"Goats","PPR","Subadult","Production losses",228902781.66461,6890740337.54897
"Goats","PPR","Subadult","Mortality losses",700483276.041319,6800646922.42879
"Goats","PPR","Subadult","Total AHLE",966442104.619196,6857312933.16056
"Sheep","PPR","Adult","Animal health expenditure",123691236.966132,12655825.8206775
"Sheep","PPR","Adult","Production losses",2472977741.34197,33298605338.4459
"Sheep","PPR","Adult","Mortality losses",4525030147.81515,32976114408.4266
"Sheep","PPR","Adult","Total AHLE",7121699126.12325,33391116720.3344
"Sheep","PPR","Juvenile","Animal health expenditure",78005346.1844046,8747499.0293971
"Sheep","PPR","Juvenile","Production losses",337062293.274973,18742211129.0565
"Sheep","PPR","Juvenile","Mortality losses",1056635826.92616,18819605306.4451
"Sheep","PPR","Juvenile","Total AHLE",1471703466.38554,19060724301.1442
"Sheep","PPR","Overall","Animal health expenditure",254140886.405019,18126268.5434612
"Sheep","PPR","Overall","Production losses",3759861727.95152,1444344164.62452
"Sheep","PPR","Overall","Mortality losses",7679426218.52505,1678491520.66514
"Sheep","PPR","Overall","Total AHLE",11693428832.8816,1302642730.80827
"Sheep","PPR","Subadult","Animal health expenditure",52444303.2544828,5406736.6952267
"Sheep","PPR","Subadult","Production losses",949821693.334572,27985393120.9752
"Sheep","PPR","Subadult","Mortality losses",2097760243.78374,27485338435.6171
"Sheep","PPR","Subadult","Total AHLE",3100026240.3728,27852098092.4872
"Both","All causes","Adult","Animal health expenditure",9556172650.83927,901833333.818501
"Both","All causes","Adult","Production losses",95342257502.4366,29474466066.8829
"Both","All causes","Adult","Mortality losses",61553028164.0402,11815263316.9699
"Both","All causes","Adult","Total AHLE",166451458317.316,35979896603.934
"Both","All causes","Juvenile","Animal health expenditure",1715796244.09049,134930458.672889
"Both","All causes","Juvenile","Production losses",34624577709.0882,14351074167.4293
"Both","All causes","Juvenile","Mortality losses",6874508172.6266,2097772274.51609
"Both","All causes","Juvenile","Total AHLE",43214882125.8053,14283695979.8766
"Both","All causes","Overall","Animal health expenditure",12812283860.4029,920911309.856367
"Both","All causes","Overall","Production losses",192642201108.486,27694073528.8823
"Both","All causes","Overall","Mortality losses",86652213227.4359,10462963439.0489
"Both","All causes","Overall","Total AHLE",292106698196.325,38006478591.7861
"Both","All causes","Subadult","Animal health expenditure",1540314965.47317,122781181.197371
"Both","All causes","Subadult","Production losses",62675365896.9612,22159108159.2291
"Both","All causes","Subadult","Mortality losses",18224676890.7691,5088793499.98423
"Both","All causes","Subadult","Total AHLE",82440357753.2035,22065671026.6715
"Goats","All causes","Adult","Animal health expenditure",3907363791.94137,521463553.845302
"Goats","All causes","Adult","Production losses",19380869034.4065,6944581755.3639
"Goats","All causes","Adult","Mortality losses",20804835466.2337,6059885897.96716
"Goats","All causes","Adult","Total AHLE",44093068292.5816,10541476919.1432
"Goats","All causes","Juvenile","Animal health expenditure",814753451.019284,92175622.1985272
"Goats","All causes","Juvenile","Production losses",4564366135.32794,2398890268.72763
"Goats","All causes","Juvenile","Mortality losses",2463136763.77317,1058263170.41366
"Goats","All causes","Juvenile","Total AHLE",7842256350.12039,2497518637.10067
"Goats","All causes","Overall","Animal health expenditure",5449984345.82339,537580806.982963
"Goats","All causes","Overall","Production losses",32810468500.0475,5001202789.95515
"Goats","All causes","Overall","Mortality losses",30035807456.3416,5244416095.84457
"Goats","All causes","Overall","Total AHLE",68296260302.2125,10153736494.9822
"Goats","All causes","Subadult","Animal health expenditure",727867102.862735,82350168.6976683
"Goats","All causes","Subadult","Production losses",8865233330.31301,5393697892.85566
"Goats","All causes","Subadult","Mortality losses",6767835226.33478,2753957868.11688
"Goats","All causes","Subadult","Total AHLE",16360935659.5105,5257354070.30497
"Sheep","All causes","Adult","Animal health expenditure",5648808858.8979,757329163.96266
"Sheep","All causes","Adult","Production losses",75961388468.0301,28774564263.3148
"Sheep","All causes","Adult","Mortality losses",40748192697.8066,9844378997.02149
"Sheep","All causes","Adult","Total AHLE",122358390024.735,34161903300.5913
"Sheep","All causes","Juvenile","Animal health expenditure",901042793.07121,99780053.4162007
"Sheep","All causes","Juvenile","Production losses",30060211573.7603,14124587478.939
"Sheep","All causes","Juvenile","Mortality losses",4411371408.85343,1750861998.07939
"Sheep","All causes","Juvenile","Total AHLE",35372625775.6849,14070693418.9316
"Sheep","All causes","Overall","Animal health expenditure",7362299514.57955,769520309.194604
"Sheep","All causes","Overall","Production losses",159831732608.439,27796426895.5834
"Sheep","All causes","Overall","Mortality losses",56616405771.0943,8739095503.38537
"Sheep","All causes","Overall","Total AHLE",223810437894.112,36396705012.8964
"Sheep","All causes","Subadult","Animal health expenditure",812447862.610439,90617222.4758044
"Sheep","All causes","Subadult","Production losses",53810132566.6482,21675016764.9776
"Sheep","All causes","Subadult","Mortality losses",11456841664.4344,4176139300.92296
"Sheep","All causes","Subadult","Total AHLE",66079422093.693,21541074075.2059
