"AHLE","Species","Production system","Age class","Cause","Disease","median","mean","sd","lower95","upper95"
"Mortality","Goats","Agropastoral","Adult female","Infectious","Other causes",3818396718.36564,3804525096.33754,4979083835.90669,3586311135.65791,4022739057.01718
"Mortality","Goats","Agropastoral","Adult female","Infectious","PPR",2209829316.13966,2232020486.33706,2936376888.74558,2103330459.80638,2360710512.86774
"Mortality","Goats","Agropastoral","Adult male","Infectious","Other causes",584726492.938379,599657844.426744,1508313393.57051,533554310.040839,665761378.812649
"Mortality","Goats","Agropastoral","Adult male","Infectious","PPR",267823319.708441,273946170.914668,691776794.634627,243628273.237415,304264068.591921
"Mortality","Goats","Agropastoral","Juvenile","Infectious","Other causes",590277395.16223,582037150.878787,977768277.149317,539185354.159682,624888947.597893
"Mortality","Goats","Agropastoral","Juvenile","Infectious","PPR",510961768.037734,508122462.94846,850053156.054749,470867925.349947,545377000.546972
"Mortality","Goats","Agropastoral","Subadult","Infectious","Other causes",1768499703.24801,1788070032.41254,2037070725.94093,1698793112.01075,1877346952.81434
"Mortality","Goats","Agropastoral","Subadult","Infectious","PPR",1507663899.6666,1535681260.88551,1748634083.86617,1459045401.39905,1612317120.37196
"Mortality","Sheep","Agropastoral","Adult female","Infectious","Other causes",7646881934.88995,7807870803.14952,11558208813.7111,7301319275.45409,8314422330.84496
"Mortality","Sheep","Agropastoral","Adult female","Infectious","PPR",1772832116.05577,1910979881.21835,2869692893.07502,1785212355.95271,2036747406.48398
"Mortality","Sheep","Agropastoral","Adult male","Infectious","Other causes",2034414191.6089,2034166359.66472,4220809325.71804,1849184633.99133,2219148085.3381
"Mortality","Sheep","Agropastoral","Adult male","Infectious","PPR",353540703.127532,354978457.428012,753660759.62822,321948425.239901,388008489.616122
"Mortality","Sheep","Agropastoral","Juvenile","Infectious","Other causes",1553157529.94227,1535627746.91017,2206209536.05162,1438938127.53096,1632317366.28938
"Mortality","Sheep","Agropastoral","Juvenile","Infectious","PPR",624327002.126737,636930864.455172,924722015.268315,596403879.947668,677457848.962676
"Mortality","Sheep","Agropastoral","Subadult","Infectious","Other causes",3972118429.14334,4024853411.43156,4799093175.06458,3814527744.31799,4235179078.54512
"Mortality","Sheep","Agropastoral","Subadult","Infectious","PPR",1696982946.66272,1727719561.73712,2078442085.12805,1636629494.89224,1818809628.58201
"Production loss","Goats","Agropastoral","Adult female","Infectious","Other causes",10002244667.422,10161280698.5061,8666386407.5879,9781466546.92622,10541094850.086
"Production loss","Goats","Agropastoral","Adult female","Infectious","PPR",6122312168.64267,6349560379.27668,5468137876.63874,6109913074.08395,6589207684.4694
"Production loss","Goats","Agropastoral","Adult male","Infectious","Other causes",2971619515.05224,2959255758.04265,5907615586.10865,2700347846.92836,3218163669.15694
"Production loss","Goats","Agropastoral","Adult male","Infectious","PPR",901972063.717885,890153622.38728,1780438248.18907,812123909.55516,968183335.2194
"Production loss","Goats","Agropastoral","Juvenile","Infectious","Other causes",1251472754.14642,1231480061.94312,1451433634.78822,1167869347.09098,1295090776.79526
"Production loss","Goats","Agropastoral","Juvenile","Infectious","PPR",678561603.509329,667699444.202928,785957172.862339,633253985.305844,702144903.100012
"Production loss","Goats","Agropastoral","Subadult","Infectious","Other causes",2424129081.97828,2467400408.25153,2744325032.04568,2347127270.7887,2587673545.71436
"Production loss","Goats","Agropastoral","Subadult","Infectious","PPR",1463032366.00597,1491589613.84723,1663587240.01854,1418681028.14264,1564498199.55182
"Production loss","Sheep","Agropastoral","Adult female","Infectious","Other causes",13558704873.0846,13789834109.4229,14035500584.8448,13174712477.8783,14404955740.9675
"Production loss","Sheep","Agropastoral","Adult female","Infectious","PPR",5829262856.00379,5942617128.05212,6126870789.36887,5674100110.54802,6211134145.55623
"Production loss","Sheep","Agropastoral","Adult male","Infectious","Other causes",16836670332.7479,16920845187.7488,16755709228.7764,16186507346.6303,17655183028.8673
"Production loss","Sheep","Agropastoral","Adult male","Infectious","PPR",4047967543.40441,4238036552.72839,4247044307.74439,4051905049.40012,4424168056.05666
"Production loss","Sheep","Agropastoral","Juvenile","Infectious","Other causes",8957314044.77979,9147097599.56214,6748169327.08644,8851351473.4212,9442843725.70307
"Production loss","Sheep","Agropastoral","Juvenile","Infectious","PPR",3935474954.1832,4012048450.54358,2974204126.60543,3881700602.6813,4142396298.40586
"Production loss","Sheep","Agropastoral","Subadult","Infectious","Other causes",16077974475.2649,16261026825.6699,10140910190.0547,15816590007.4926,16705463643.8472
"Production loss","Sheep","Agropastoral","Subadult","Infectious","PPR",8001547305.72568,8099310116.07615,5118294838.34468,7874995076.31985,8323625155.83244
"Mortality","Goats","Agropastoral","Adult female","External","Other causes",1726340932.13649,1854331759.66752,2608667247.49187,1740003977.50299,1968659541.83204
"Mortality","Goats","Agropastoral","Adult female","Non-infectious","Other causes",5819622418.23528,6065040818.67573,8286746045.34219,5701864833.83692,6428216803.51454
"Mortality","Goats","Agropastoral","Adult male","External","Other causes",3286333864.51033,3156938129.08397,7615413846.70435,2823184034.4612,3490692223.70674
"Mortality","Goats","Agropastoral","Adult male","Non-infectious","Other causes",1814758431.82519,1766394575.40047,4339600280.44715,1576206702.25525,1956582448.54569
"Mortality","Goats","Agropastoral","Juvenile","External","Other causes",196068197.822292,213001491.553861,366755554.173876,196928016.048108,229074967.059614
"Mortality","Goats","Agropastoral","Juvenile","Non-infectious","Other causes",558625516.178029,571688297.583869,956267075.567515,529778815.25656,613597779.911178
"Mortality","Goats","Agropastoral","Subadult","External","Other causes",767543467.527828,816235313.407902,949112196.858184,774639401.703784,857831225.112019
"Mortality","Goats","Agropastoral","Subadult","Non-infectious","Other causes",1950641490.31439,2039482210.04422,2304895791.46022,1938467554.29947,2140496865.78897
"Mortality","Sheep","Agropastoral","Adult female","External","Other causes",3110455128.7208,3170466384.71609,4650130920.54486,2966669156.29161,3374263613.14058
