"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Current","Both","Adult","Feed Cost",67469890619.6968,6337909748.71093,55383266150.6215,80527053630.4384
"Current","Both","Adult","Gross Margin",62393257209.1703,30831333836.4699,2618571371.75159,122882787313.334
"Current","Both","Adult","Health Cost",9556172650.83927,901833333.818501,7870893199.73849,11378347067.5528
"Current","Both","Adult","Labour Cost",16049850359.4909,1047829997.05495,14004271499.762,18100178435.0146
"Current","Both","Adult","Population",5258210.8787881,63033.2228602792,5134921.4853116,5380977.52895828
"Current","Both","Adult","Value of Herd Increase",41646330502.287,9828039088.8677,23075286726.3721,62027628752.1015
"Current","Both","Adult","Value of Manure",3582135484.35418,103106117.463744,3388528700.82949,3778997213.23934
"Current","Both","Adult","Value of Offtake",109852367734.677,23961996115.2111,62893790563.9085,156424619241.838
"Current","Both","Adult Female","Feed Cost",57225604726.6623,6228051927.27808,45507916912.5527,69718224484.2028
"Current","Both","Adult Female","Gross Margin",-28814371809.9658,11799960467.5952,-51884616450.0749,-5381048774.03929
"Current","Both","Adult Female","Health Cost",8204406871.24836,893330035.267175,6542069919.96012,10016149691.9492
"Current","Both","Adult Female","Labour Cost",13783672579.1808,1034388585.60534,11772352198.0259,15816735736.3235
"Current","Both","Adult Female","Population",4422753.84966035,42040.564621474,4340505.56157145,4505186.5126106
"Current","Both","Adult Female","Value of Herd Increase",10469842235.1206,5214106207.97116,-97536665.603316,20319084898.7152
"Current","Both","Adult Female","Value of Manure",3076743470.47643,99988208.4668254,2889228069.26604,3266386152.86966
"Current","Both","Adult Female","Value of Offtake",36464389543.6498,9335871229.88423,18817924987.4632,55292438705.6999
"Current","Both","Adult Male","Feed Cost",10244285893.0345,1084750618.68456,8193408132.57289,12493997619.895
"Current","Both","Adult Male","Gross Margin",91207629019.1361,28476033951.8197,35867571292.1482,147778038184.267
"Current","Both","Adult Male","Health Cost",1351765779.59091,158539262.441727,1069576159.23431,1680568451.43779
"Current","Both","Adult Male","Labour Cost",2266177780.31014,183685330.428324,1913885294.59988,2631093071.95927
"Current","Both","Adult Male","Population",835457.029127756,46510.7038475638,741552.608918636,924044.148620767
"Current","Both","Adult Male","Value of Herd Increase",31176488267.1664,8370823446.38999,15976605558.265,48252906354.7793
"Current","Both","Adult Male","Value of Manure",505392013.877745,23211759.1018214,461132712.198479,551807924.772109
"Current","Both","Adult Male","Value of Offtake",73387978191.0275,22100953304.089,30576560331.9253,117142341897.99
"Current","Both","Juvenile","Feed Cost",7993096493.98862,674560900.219981,6688175602.75804,9353461616.55537
"Current","Both","Juvenile","Gross Margin",-16319029384.2626,1249547902.59907,-18847779871.7887,-13992248506.8027
"Current","Both","Juvenile","Health Cost",1715796244.09049,134930458.672889,1456913523.19652,1989836162.57796
"Current","Both","Juvenile","Labour Cost",2891894371.7073,153228083.396944,2584426558.15762,3190371997.53749
"Current","Both","Juvenile","Population",1778568.79230206,36044.6951934358,1707167.55754098,1848070.4324605
"Current","Both","Juvenile","Value of Herd Increase",-4146988553.83899,1077352834.58231,-6352558964.38268,-2162162117.6177
